Word,Category,Language
punting,1,EN
crowd,1,EN
secret,1,EN
fumble,1,EN
pond,1,EN
health,1,EN
pardon,1,EN
shake,1,EN
kiddo,1,EN
proof,1,EN
gorp,1,EN
town,1,EN
bingo,1,EN
clever,1,EN
inside,1,EN
reply,1,EN
frozen,1,EN
special,1,EN
film,1,EN
results,1,EN
soda,1,EN
seal,1,EN
twirled,1,EN
admit,1,EN
grown-ups,1,EN
pieces,1,EN
brass,1,EN
onshore,1,EN
stunts,1,EN
deny,1,EN
jolly,1,EN
powder,1,EN
walnut,1,EN
sawdust,1,EN
flustered,1,EN
barber,1,EN
chimes,1,EN
cabin,1,EN
faint,1,EN
manger,1,EN
peppermint,1,EN
broth,1,EN
utensils,2,EN
depot,2,EN
incident,2,EN
brambles,2,EN
trifecta,2,EN
shingle,2,EN
mason,2,EN
avoid,2,EN
static,2,EN
samples,2,EN
modern,2,EN
chalk,2,EN
concentrate,2,EN
proud,2,EN
expiration,2,EN
batteries,2,EN
centuries,2,EN
diPered,2,EN
fearsome,2,EN
fiercest,2,EN
residence,2,EN
abated,2,EN
scattering,2,EN
toppled,2,EN
vane,2,EN
vortices,2,EN
turbulent,2,EN
obstacles,2,EN
continental,2,EN
deportment,2,EN
exhibits,2,EN
agricultural,2,EN
momentous,2,EN
disturbance,2,EN
adumbrate,3,EN
depilatory,3,EN
bucolic,3,EN
milieu,3,EN
woad,3,EN
terpsichore,3,EN
strychnine,3,EN
pissaladière,3,EN
nilpotent,3,EN
latitudinarian,3,EN
voltammetry,3,EN
rathskeller,3,EN
asphyxiate,3,EN
spondylitis,3,EN
sequoia,3,EN
immure,3,EN
theodicy,3,EN
politeia,3,EN
canard,3,EN
Lisztian,3,EN
gerundial,3,EN
ensilage,3,EN
cabal,3,EN
sotto voce,3,EN
inesculent,3,EN
cicerone,3,EN
pusillanimous,3,EN
quidnunc,3,EN
genoise,3,EN
arachnophagous,3,EN
pirouetted,3,EN
bestial,3,EN
hallux,3,EN
jabot,3,EN
saponaceous,3,EN
jazz,3,EN
etouffee,3,EN
acaramelado,1,ES
acolchado,1,ES
acólito,1,ES
agosto,1,ES
ahora,1,ES
albañil,1,ES
albino,1,ES
alcachofa,1,ES
alcoba,1,ES
aldaba,1,ES
aldea,1,ES
alegre,1,ES
aleta,1,ES
alfiler,1,ES
almendra,1,ES
americano,1,ES
amigo,1,ES
amo,1,ES
bacteria,1,ES
balsa,1,ES
bamba,1,ES
banana,1,ES
debutar,1,ES
departamento,1,ES
derecho,1,ES
dibujo,1,ES
director,1,ES
disparatado,1,ES
empeño,1,ES
enchufar,1,ES
ensalada,1,ES
escama,1,ES
escoba,1,ES
escribir,1,ES
escuela,1,ES
estudiante,1,ES
exterior,1,ES
faja,1,ES
sacacorchos,1,ES
secano,1,ES
soldado,1,ES
sonoro,1,ES
suelo,1,ES
selva,1,ES
servidor,1,ES
sajo,1,ES
tapete,1,ES
tejado,1,ES
círculo,2,ES
cítrico,2,ES
clásico,2,ES
clave,2,ES
desarrollo,2,ES
desayunar,2,ES
desbordamiento,2,ES
desconcertante,2,ES
descubrimiento,2,ES
desgarro,2,ES
deshonra,2,ES
despegue,2,ES
despertador,2,ES
después,2,ES
diablo,2,ES
diacrítico,2,ES
diacronía,2,ES
diafragma,2,ES
ecológico,2,ES
edredón,2,ES
educación,2,ES
efímero,2,ES
bastante,2,ES
bastoncillo,2,ES
batacazo,2,ES
beatífico,2,ES
becerro,2,ES
begonia,2,ES
benévolo,2,ES
berberecho,2,ES
berenjena,2,ES
bermellón,2,ES
berrinche,2,ES
berza,2,ES
bético,2,ES
betún,2,ES
bicéfala,2,ES
bonsái,2,ES
bonzo,2,ES
ininterrumpidamente,3,ES
insectívoro,3,ES
inserción,3,ES
insubordinación,3,ES
insurrección,3,ES
intransigente,3,ES
introspección,3,ES
lapislázuli,3,ES
lingüística,3,ES
lugués,3,ES
luxación,3,ES
machihembrar,3,ES
magnánimo,3,ES
maravedinada,3,ES
mayorazgo,3,ES
merovingio,3,ES
metacrilato,3,ES
metalúrgico,3,ES
cosmovisión,3,ES
costumbrismo,3,ES
currículum,3,ES
cúspide,3,ES
derranchadamente,3,ES
destornillador,3,ES
descalcificación,3,ES
descentralización,3,ES
descompresión,3,ES
desemballestar,3,ES
disquisición,3,ES
efervescente,3,ES
eflorescencia,3,ES
ejemplificación,3,ES
electrocardiograma,3,ES
